                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.1527,                 2.8332,                 1.6167,                 1.4858,                 0.6017,                0.46721,                0.49827,                0.36542,                0.56699,                0.42185,                0.42861,                0.26861,                 1.2049,                 2.9133,                  1.704,                 1.6665,               0.007822,               0.007822,               0.007822
                     25,                 1.1362,                 2.8515,                 1.5785,                 1.4826,                0.60613,                0.46952,                0.51399,                0.37532,                0.57832,                0.43904,                0.44551,                0.28047,                 1.2042,                 2.8848,                 1.6551,                  1.662,               0.007723,               0.007723,               0.007723
                     26,                 1.1299,                 2.8593,                 1.6107,                 1.4768,                0.61242,                0.48854,                0.52333,                0.38531,                0.58152,                0.45115,                0.45518,                  0.286,                 1.1993,                 2.8867,                 1.6328,                 1.6639,               0.007624,               0.007624,               0.007624
                     27,                 1.1216,                 2.8235,                 1.5621,                 1.4739,                  0.576,                 0.5071,                0.52602,                0.38748,                0.55391,                0.45163,                0.45481,                0.28569,                 1.1967,                 2.8621,                 1.6171,                 1.6709,               0.007525,               0.007525,               0.007525
                     28,                 1.1143,                 2.8667,                 1.5467,                 1.4632,                0.61822,                0.48657,                0.52521,                0.38967,                0.58447,                0.45125,                0.46324,                0.28856,                 1.1852,                 2.8497,                 1.6013,                 1.6446,               0.007426,               0.007426,               0.007426
                     29,                 1.1233,                 2.8145,                  1.538,                 1.4742,                0.60364,                0.51531,                0.53272,                0.39239,                0.56113,                0.47007,                0.45772,                0.28684,                 1.1865,                   2.85,                 1.5913,                 1.6569,               0.007327,               0.007327,               0.007327
                     30,                 1.1079,                 2.8103,                 1.5078,                 1.4547,                0.61676,                0.51261,                0.54507,                0.40451,                0.56995,                0.47237,                0.47179,                0.29634,                 1.1728,                 2.8243,                 1.5705,                 1.6385,               0.007228,               0.007228,               0.007228
                     31,                 1.1202,                 2.8323,                 1.5139,                 1.4694,                0.64636,                0.50215,                0.55018,                0.40832,                0.60049,                0.46044,                0.47307,                0.29805,                 1.1711,                 2.8555,                   1.55,                 1.6419,               0.007129,               0.007129,               0.007129
                     32,                 1.0887,                 2.7298,                 1.4708,                 1.4485,                0.66442,                0.49516,                0.54954,                0.40629,                0.63008,                 0.4592,                0.48575,                0.30343,                 1.1771,                 2.8154,                 1.5557,                 1.6363,                0.00703,                0.00703,                0.00703
                     33,                 1.0824,                 2.7606,                 1.4444,                 1.4413,                0.61001,                0.53218,                0.55474,                 0.4121,                0.57646,                0.48608,                0.48837,                0.31116,                 1.1788,                  2.808,                 1.5406,                  1.631,               0.006931,               0.006931,               0.006931
                     34,                 1.0713,                 2.6976,                 1.4187,                 1.4265,                0.61622,                 0.5274,                0.56326,                0.42173,                0.58144,                0.48954,                0.49906,                0.31161,                 1.1673,                 2.8082,                  1.533,                 1.6313,               0.006832,               0.006832,               0.006832
                     35,                 1.0801,                 2.7039,                 1.4317,                 1.4342,                0.63568,                0.53649,                0.57011,                0.42271,                0.60757,                0.49489,                0.50041,                0.31384,                 1.1649,                 2.8334,                 1.5015,                 1.6224,               0.006733,               0.006733,               0.006733
