                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.0095,                 2.6112,                 1.2902,                 1.3522,                0.75229,                 0.5851,                0.67715,                0.53568,                0.73098,                0.54681,                0.62742,                0.42954,                 1.0008,                 2.3575,                 1.0849,                 1.4252,               0.007822,               0.007822,               0.007822
                     25,                 1.0138,                 2.6302,                 1.2937,                 1.3587,                  0.735,                0.58783,                0.67937,                0.53217,                0.71083,                0.56552,                0.63153,                0.42882,                0.99799,                 2.3413,                 1.0712,                 1.4151,               0.007723,               0.007723,               0.007723
                     26,                 1.0124,                 2.6385,                 1.3042,                 1.3589,                0.73314,                0.60685,                 0.6846,                0.53519,                0.70658,                0.57965,                0.63153,                0.43201,                0.99383,                   2.33,                 1.0547,                 1.4134,               0.007624,               0.007624,               0.007624
                     27,                 1.0115,                 2.6246,                  1.296,                 1.3553,                0.73856,                 0.6004,                  0.688,                0.53983,                0.73334,                0.55836,                 0.6398,                0.43622,                0.99122,                 2.3268,                 1.0497,                 1.4119,               0.007525,               0.007525,               0.007525
                     28,                 1.0065,                 2.5767,                 1.2709,                 1.3484,                0.76567,                0.59676,                0.69412,                0.54509,                0.74211,                0.56394,                0.64278,                0.43885,                 0.9887,                 2.3125,                  1.033,                 1.4058,               0.007426,               0.007426,               0.007426
                     29,                  1.011,                 2.5926,                 1.2723,                 1.3535,                0.76149,                0.61431,                0.70241,                0.55473,                0.73375,                0.58928,                0.65487,                0.44809,                0.98208,                 2.2949,                 1.0216,                 1.4005,               0.007327,               0.007327,               0.007327
                     30,                0.99671,                 2.5716,                 1.2523,                 1.3433,                0.76784,                0.61169,                0.70798,                0.55901,                0.74277,                0.58645,                0.66207,                 0.4532,                0.97956,                 2.2891,                 1.0161,                 1.4008,               0.007228,               0.007228,               0.007228
                     31,                 1.0056,                 2.5927,                 1.2641,                 1.3495,                0.75126,                0.62448,                 0.7096,                0.56074,                0.73703,                0.59714,                0.67063,                0.45721,                0.97161,                 2.2765,                 1.0046,                 1.3949,               0.007129,               0.007129,               0.007129
                     32,                 1.0014,                 2.5861,                 1.2517,                 1.3446,                0.75332,                0.63333,                0.71331,                0.56333,                 0.7184,                0.61178,                0.67037,                0.45866,                0.97431,                 2.2748,                 1.0004,                 1.3942,                0.00703,                0.00703,                0.00703
                     33,                 1.0012,                 2.5584,                 1.2518,                 1.3466,                0.75395,                0.63418,                0.71781,                0.56809,                0.72663,                0.61047,                0.67305,                0.46277,                0.97357,                 2.2641,                0.99294,                 1.3939,               0.006931,               0.006931,               0.006931
                     34,                 1.0054,                 2.5586,                 1.2443,                 1.3459,                0.74221,                0.64122,                0.71728,                0.56761,                0.71255,                0.61617,                0.67318,                0.46163,                 0.9727,                 2.2532,                0.98489,                 1.3917,               0.006832,               0.006832,               0.006832
                     35,                0.98825,                 2.5202,                 1.2145,                 1.3345,                0.75548,                0.62243,                0.71974,                0.56986,                0.79188,                0.56708,                0.67632,                 0.4635,                0.97122,                 2.2464,                0.98203,                 1.3896,               0.006733,               0.006733,               0.006733
                     36,                 1.0023,                 2.5546,                 1.2377,                 1.3397,                0.78836,                0.60964,                0.72257,                0.57314,                0.76512,                0.58426,                0.68272,                 0.4641,                0.96979,                 2.2448,                 0.9759,                 1.3873,               0.006634,               0.006634,               0.006634
                     37,                 1.0001,                 2.5378,                 1.2377,                  1.341,                0.76144,                0.63742,                0.72489,                0.57412,                0.73499,                0.61367,                 0.6826,                0.46519,                0.96994,                 2.2445,                0.97133,                 1.3863,               0.006535,               0.006535,               0.006535
                     38,                 0.9919,                 2.5233,                 1.2093,                 1.3361,                0.75615,                0.63752,                0.72496,                0.57557,                0.72512,                0.61193,                0.68224,                0.46623,                0.96991,                 2.2428,                0.97064,                 1.3871,               0.006436,               0.006436,               0.006436
                     39,                0.99246,                 2.5374,                 1.2149,                 1.3342,                0.75467,                0.63878,                0.72679,                0.57654,                0.72294,                0.61077,                0.68084,                 0.4661,                0.96678,                 2.2376,                0.96676,                 1.3842,               0.006337,               0.006337,               0.006337
                     40,                0.99376,                 2.5324,                 1.2059,                 1.3361,                0.76083,                0.63566,                0.73072,                0.57772,                0.74723,                0.60074,                0.68487,                 0.4687,                0.96629,                 2.2355,                 0.9629,                 1.3833,               0.006238,               0.006238,               0.006238
                     41,                0.98017,                 2.5205,                 1.2007,                 1.3277,                 0.7622,                0.63509,                0.73467,                0.58077,                0.76154,                 0.5926,                0.68714,                0.47138,                0.96584,                 2.2321,                0.95749,                 1.3829,               0.006139,               0.006139,               0.006139
                     42,                0.98148,                 2.4989,                 1.1856,                 1.3279,                0.77931,                 0.6263,                0.73638,                0.58301,                0.75576,                0.59868,                0.69135,                0.47385,                0.96585,                 2.2297,                0.95405,                 1.3832,                0.00604,                0.00604,                0.00604
                     43,                0.98158,                 2.4963,                 1.1841,                 1.3284,                0.77096,                0.63182,                0.73924,                0.58439,                0.74642,                0.60768,                 0.6956,                0.47533,                0.96437,                 2.2237,                0.94945,                 1.3813,               0.005941,               0.005941,               0.005941
                     44,                0.97664,                 2.4578,                  1.174,                 1.3219,                0.76365,                0.63429,                0.74066,                0.58521,                0.73628,                0.60921,                0.69567,                0.47607,                0.96339,                 2.2195,                 0.9452,                 1.3802,               0.005842,               0.005842,               0.005842
                     45,                0.98557,                 2.4926,                 1.1866,                 1.3309,                 0.7726,                0.63627,                0.74249,                0.58809,                0.74515,                0.61279,                0.69842,                0.47856,                0.96275,                 2.2177,                0.94157,                 1.3801,               0.005743,               0.005743,               0.005743
                     46,                0.97643,                 2.4755,                 1.1686,                 1.3241,                  0.764,                0.64555,                0.74494,                0.58934,                0.73717,                0.62315,                0.70184,                0.47961,                0.96137,                  2.214,                0.93753,                 1.3784,               0.005644,               0.005644,               0.005644
                     47,                0.98263,                 2.4888,                 1.1662,                 1.3275,                0.76395,                0.65086,                0.74666,                0.59084,                 0.7354,                0.62671,                0.70404,                0.48126,                0.95965,                 2.2104,                0.93251,                 1.3769,               0.005545,               0.005545,               0.005545
                     48,                0.98325,                 2.5009,                 1.1669,                 1.3302,                0.76577,                0.64866,                0.74777,                0.59182,                0.73925,                0.62312,                0.70415,                0.48202,                0.95907,                  2.207,                0.92747,                 1.3767,               0.005446,               0.005446,               0.005446
                     49,                0.98142,                 2.4773,                 1.1575,                 1.3244,                0.77284,                0.64688,                0.74956,                0.59388,                0.74376,                0.62255,                 0.7056,                0.48364,                0.95902,                 2.2059,                0.92494,                 1.3763,               0.005347,               0.005347,               0.005347
                     50,                0.97982,                 2.4698,                  1.158,                 1.3251,                0.76511,                0.64631,                0.74964,                 0.5938,                0.73757,                0.62205,                0.70614,                0.48221,                0.95899,                 2.2035,                0.92239,                 1.3759,               0.005248,               0.005248,               0.005248
                     51,                0.97451,                 2.4569,                 1.1375,                 1.3198,                0.75979,                0.65149,                0.75146,                0.59553,                0.74477,                0.62271,                 0.7077,                0.48353,                 0.9578,                 2.2011,                0.91928,                 1.3744,               0.005149,               0.005149,               0.005149
                     52,                0.97639,                 2.4548,                 1.1357,                 1.3195,                0.76489,                0.65117,                0.75335,                0.59715,                0.73761,                 0.6255,                0.70877,                0.48443,                0.95819,                 2.1987,                0.91674,                 1.3745,                0.00505,                0.00505,                0.00505
                     53,                0.97395,                 2.4428,                 1.1466,                 1.3223,                0.77932,                0.64383,                0.75504,                0.59838,                0.74964,                0.61887,                0.71015,                0.48593,                0.95758,                 2.1961,                0.91342,                 1.3736,               0.004951,               0.004951,               0.004951
                     54,                0.97516,                 2.4622,                 1.1278,                 1.3206,                0.76255,                0.65783,                0.75718,                0.60072,                0.75044,                0.62158,                0.71362,                 0.4874,                0.95666,                 2.1935,                0.91068,                 1.3729,               0.004852,               0.004852,               0.004852
                     55,                0.97316,                 2.4314,                 1.1177,                 1.3138,                0.77066,                0.65686,                0.75891,                0.60153,                0.74925,                0.62585,                0.71525,                  0.488,                0.95623,                 2.1911,                0.90707,                 1.3729,               0.004753,               0.004753,               0.004753
                     56,                0.97207,                  2.415,                 1.1196,                  1.318,                0.75894,                0.66264,                   0.76,                 0.6026,                0.74653,                0.63015,                0.71599,                0.48952,                0.95514,                 2.1866,                0.90415,                 1.3722,               0.004654,               0.004654,               0.004654
                     57,                0.96152,                 2.4196,                 1.1075,                  1.314,                0.75789,                0.66926,                0.76152,                0.60341,                0.73687,                0.63916,                0.71876,                0.49054,                0.95442,                 2.1839,                0.90068,                 1.3716,               0.004555,               0.004555,               0.004555
                     58,                 0.9679,                 2.4129,                 1.1034,                 1.3145,                0.75813,                0.67189,                 0.7633,                0.60563,                0.73858,                0.64136,                0.72085,                0.49209,                0.95279,                 2.1798,                0.89662,                 1.3704,               0.004456,               0.004456,               0.004456
                     59,                0.96741,                 2.4145,                 1.1098,                 1.3129,                0.76968,                0.66734,                0.76533,                0.60704,                0.74384,                0.64112,                0.72288,                0.49426,                0.95115,                 2.1761,                0.89266,                 1.3687,               0.004357,               0.004357,               0.004357
                     60,                0.96058,                 2.3754,                 1.0834,                 1.3083,                0.76667,                0.67531,                 0.7676,                0.60897,                0.73855,                0.64816,                0.72484,                0.49569,                0.95036,                 2.1732,                0.89016,                 1.3679,               0.004258,               0.004258,               0.004258
                     61,                 0.9602,                  2.374,                 1.0854,                 1.3031,                0.76468,                0.67914,                0.77057,                0.61266,                  0.739,                 0.6504,                0.72755,                0.49715,                0.94938,                   2.17,                0.88623,                 1.3671,               0.004159,               0.004159,               0.004159
                     62,                0.95426,                 2.3865,                 1.0809,                 1.3019,                0.76039,                0.68307,                0.77224,                0.61492,                0.73942,                0.65303,                  0.729,                0.49888,                0.94872,                 2.1658,                 0.8828,                 1.3667,                0.00406,                0.00406,                0.00406
